"","text"
"80","rt      oreilly  bothers   sent  troops  wo  intelligence amp    word  sorrow  "
"81","san diego trends   ladainian tomlinson hall  fame super bowl pro football hall  fame "
"82","rt   tangled web "
"83"," president  executive   immigration  refugees      "
"84","rt  opinions  halfbaked travel ban   picture  american shame "
"85","rt  appeals court rejects  request  restore immigration ban  "
"86"," evangelical response   copyright  npr    visit  "
"87","rt  low energy  aides explain hotheaded call  australian pm saying   fatigued  pm wher "
"88","appeals court denies immediate reinstatement   travel ban "
"89"," travel ban mike pence defends president"
"90","rt   deputy editorial page editor   wall street journal   agree    word  fits  "
"91","rt  thank  socalled president  ive  struggling   weeks    call    tweet   "
"92","rt  sundaymorning th circuit  following  ruleoflaw  refusing  automatically reinstate  immoral   "
"93","rt  breaking th circuit court  appeals denies  request  immediately restore travel ban "
"94","rt   th cir declined  immediately reinstate  immigration ban bam    instead  plaintiffs  respond   appeal"
"95","rt  melissa mccarthy   press secretary sean spicer   sight  behold  "
"96","rt   protest th february     londondemonstrations  "
"97","rt   appeals court rejects  administration request  immediately reinstate travel ban "
"98","pre   using controlled chaos    rivals  balance     campaign time  governing time wont "
"99","rt    bringing  americas greatness       intends "
"100"," appeals court denies request  restore  immigration ban  "
"101","rt  former coo  goldman standing   left shoulder   signed eo weakening doddfrank      fu "
"102","rt  poroshenko tries  force  hand  ukraine  "
"103"," travel ban mike pence defends president "
"104","rt    weve   lot  killers  homicide rate  near  century low   prez      nation  killers ok"
"105","rt  former coo  goldman standing   left shoulder   signed eo weakening doddfrank      fu "
"106","rt  nigel farage  president       promised      campaign "
"107","rt   administrations request  immediate administrative stay denied "
"108","    save africa  via "
"109","rt   step     resistance plan  advises     noise   amp  russia "
"110"," supporters  played  pay thru ks foreclosures predatory lending  gas prices sale  public lands amp  kids  war "
"111","rt  worth observing       loyal    business associates   wives     putin "
"112","manchester trends  manchester  nolan ed sheeran coleen nolan "
"113","rt  ice agent reports morale  skyrocketed    via  "
"114","   mercersthe billionaire family   trumpreally  "
"115","houston expecting antitrump protests  super bowl sunday   "
"116","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"117","rt  via  ethics lawyers call  business conflicts nakedly unconstitutional "
"118","tomi lahren sounds    backlash  liberal campuses "
"119","rt     rid  bannon emphasize         puppet    narcissism   rest"
"120","rt   press takes  literally   seriously   supporters   seriously   literally  "
"121","rt  nordstrom panders   left drops ivanka  clothing  accessories line huge mistake "
"122","rt      sanctioned iran   muslim   paying   wall mexico border  extorts"
"123","de   vistalegre  "
"124","rt   venezuela  couldnt stop chavez  dont    mistake   croaks washington post  rted en masse  liberals"
"125","rt  breaking appeals court denies request  immediate stay  tro  travel ban  stay  hold   "
"126","rt  watch leftist rioters attack  supporters democratic party  uc berkeley staff allowing   happen law "
"127","rt  thanks george  bush   judges  upheld obamacare  halted president  travel ban   wonder   "
"128","rt     sinking feeling     administration lie theres  devastating truths abt  actions   "
"129","utah representative  bears ears gone        republicans   eliminate    "
"130","rt   rule    world   bad day repeat meaningless slogan"
"131","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"132","   socalled president"
"133","rt     rid  bannon emphasize         puppet    narcissism   rest"
"134","rt  hitler  failed painter   cancelled tv host bannon  failed documentary maker conway  failed standup  support  arts  media"
"135","rt   snl   night   steve bannon    calling  shots amp    real president "
"136","rt  president    withhold nearly  billion  sanctuary cities "
"137","rt        declared election  choice btwn  amp  goldman heres  undoing financial reg "
"138","rt       march       weekly mental illness convention "
"139","kirsten gillibrand   antitrump left  foresight "
"140"," deregulation nation  silicon valley tackles immigration ban  macys buzz "
"141","rt    genuinely change   brexiteer   single instance  "
"142","rt   deserves endless rts melissamccarthy  seanspicer  saturdaynightlive  epic  snl  donaldtrump"
"143","rt       march       weekly mental illness convention "
"144","rt   antitrump boycott  retailers wont   heres    affect sales  via  resist"
"145","love   snl  snl goes     melissa mccarthy  sean spicer via  "
"146","  green   colour  success        chlorophyllrules"
"147","rt  trust records     closely tied   empire "
"148","rt     courts    obama issues  travel ban   perfectly fine      exact     illegal"
"149","iran carries   missile tests   imposes sanctions "
"150","rt  hitler  failed painter   cancelled tv host bannon  failed documentary maker conway  failed standup  support  arts  media"
"151","cia  russians    tape audio  video    date        "
"152","  love war   intercept bros    noninterventionist hrc   war hawk"
"153","rt   vote   cast    watch     week    presidency  maga americafirst   "
"154","rt  obscure websites published  fake story  kuwait  copying  ban  president facebooked    "
"155","rt  appeals court  denied dojs appeal   eo   liberal    acting  activists instead  jud "
"156"," signs suggest  actions  taking  toll   brand  junk clothing boycott"
"157","travel ban  temporarily suspends    derides judge "
"158","rt  kristen mocked       gay  snl monologue    fave "
"159","rt    filled  swamp  via   "
"160","rt      moral par  putins russia   history   president slandered  country    "
"161","rt  notmypresident       disliked political leaders   entire world thousands march  london "
"162","rt  drunk   "
"163","rt  shoutout     fans       youre vs      suddenly constitutional law scholars"
"164","rt   socalled judge  stymied  ban tough conservative  fostered  atrisk kids "
"165","rt  exhibit gorbachev    build russian hotel   dworkinreport resistance trumprussia resist "
"166"," day    office   day  magic  magically  againaccording   rightwing unamerican  oppose  president "
"167","rt  killers     attacked  integrity  america  defend vladimir putin brothers  sisters  aggression   stand"
"168","rt      fans  yell     nfl deserves "
"169","rt  obscure websites published  fake story  kuwait  copying  ban  president facebooked    "
"170","  wait       antichrist    america  bad        pay"
"171","rt   th cir declined  immediately reinstate  immigration ban bam    instead  plaintiffs  respond   appeal"
"172","uufef raplounge  afternooncruise   wrapupeminem call     thepowerfrequency loud "
"173","rt   look forward     tweet   snl "
"174","utah representative  bears ears gone        republicans   eliminate    "
"175","rt   business    sent   terrorists "
"176","court denies  request  immediately restore travel ban via  "
"177","rt       march       weekly mental illness convention "
"178","rt  milo  judge jeanine    withdraw funding  berkeley  breitbart "
"179","  ban  wall   ok   crying  justice   terrorist blows   cuts  braindead head   morons"
"180","rt  obama banned iraqis  coming        months  judges stayed quiet       "
"181","rt   line   sand   cross  freedomloving conservatives  confront  authoritarianism silence  quiet enabler kills"
"182","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"183","rt    found   packs  heroin  drug bust  "
"184","rt  white house reveals      situation     military raid  via "
"185","rt  news clinton  halfhearted review  sloppy intel  led  benghazi deaths waitthat    seal deaths   hearings"
"186","rt   weeks editorial   dangerous president    "
"187","rt    rattled  bannon  shut   spicer cant    mind  conway    fake massacres   resistance  "
"188","rt  disgusting     wont   praise putin comparing     dictator     murders "
"189","rt   melania  stays   tower   yr term   cost taxpayers approx     populist  voters "
"190","rt   thats    chaos narrative fails  thrives   environment relative   weak left  craves certainty"
"191","rt  rt       impeached         impeached"
"192","rt   looks    presidency  wearing  ole jake tapper "
"193","rt   dads friend owns  restaurant          receipts     america disgustin "
"194","rt    bringing  americas greatness       intends "
"195","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"196","rt   documents   trust    little distance        businesses "
"197","rt  please follow   facebook       illegitimate president    "
"198","rt       friend voted  notmypresident presidenttrump "
"199","rt    targeting    million people  deportation headline   la times  ready    fight "
"200","rt    repeats  respect  killer putin     countrys  innocent "
"201","rt    melania    move   trumpthat cover salaries   school teachers"
"202","utah representative  bears ears gone        "
"203","rt  twitter censoring  supporters   "
"204"," federal appeals court  san francisco denied  effort  immediately reinstate  ban  sunday "
"205"," appeals court denies request  restore  immigration ban  "
"206","rt    ignite  powder keg   middle east via pic  "
"207","rt  experts social media giants fight  antiterror plan  providing platform  terrorists "
"208","president    interview  air sunday   respects vladimir putin   challenged   russian president   killer"
"209","rt  ellen degeneres response    screening finding dory   white house   "
"210","rt  feels   tweet            "
"211","travel ban  scientists    lab  scientific community   roiled    travel ban  "
"212","rt  americans      salute   "
"213","rt     compulsive liar    compulsive believers    worried   nick cohen  "
"214","rt    maralago   weekend    time  call  amp    speak   potus   numbe "
"215","hey chuck  won crybaby schumer leads chant dump   nyc protest      rt  "
"216","rt           sick  winning   lost  popular vote   lost   court tw "
"217","rt    supporter       equates   nation   tyrannical murderous nation   "
"218","rt        america hate "
"219","rt   ive    day im tired amp  cranky amp  feel     freak    bannon  maybe  "
"220"," asylum policy  upend usmexico relations  cnn "
"221","rt   supporters  played  pay thru ks foreclosures predatory lending  gas prices sale  publ "
"222","    companies   cut ties   trumpfamily  "
"223","travellers rush  board  flights   ban blocked  "
"224","rt  news post dude  stephen king  anthony weiner  bright  troubled     trash  "
"225","rt  australia sucks prepare    war alec baldwin returns  snl   botching world leader calls "
"226","rt   sad     presidency  decorated  neo con warmongers elliot abrams   kidding  "
"227","rt   nightmare women opposing   via "
"228","rt   bookstores figured      troll      "
"229","rt   immigration ban    courts  essential   counsel kate berry "
"230","rt  ipob  solidarity rally magistrate denies biafra detainees bail  avoid public celebration "
"231","rt   administrations request  immediate administrative stay denied "
"232","rt  appeals court denies  request  immediately restore travel ban  via "
"233","utah representative  bears ears gone        republicans   eliminate    "
"234","hey chuck  won crybaby schumer leads chant dump   nyc protest  "
"235","rt  veterans vs  pipeline    completed warriors vow  "
"236"," potus twitter account   image  obamas inauguration    finance startups pos "
"237","  executive  bars selling  flashlight check     free   "
"238"," loses  appeals court shoots  doj request  restore travel ban  via "
"239","news super bowl  protesters  lady gaga prepare  houston spectacle "
"240","rt   morning    th day   violates  constitutions emoluments clause amp   th day paul rya "
"241","travellers rush  board  flights   ban blocked  "
"242","rt  ban  jack jack   im nationalizing twitter  im banning jack  using  ndaa  send    black site doitjack"
"243","     discovered  twitter    shock collar"
"244","rt   retweetu    happy  president    administrations performance    kicking butt  tak "
"245","rt   federal appeals court  refused  immediately reinstate  travel ban  people  seven countries "
"246","      obamas awful presidency  arent  normal times thats     reasons  won"
"247","bipartisanletterto president   iranian regimes threats freeiran norouhani "
"248","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"249","rt  mocking    weird cause  feel  im standing    bully     time picking   mentally handicapped"
"250","rt  obscure websites published  fake story  kuwait  copying  ban  president facebooked    "
"251","washington  appeals court refuses  immediately restore  travel ban  via  iz neias"
"252","  proposed war   euro  destroy  eu      sikorskiradek via "
"253","rt   avalanche  phone calls  thundering  capitol hill   senate considers   nominations "
"254","rt  biafra biafra land   siege    solidarity rally  killed  buharis army  police "
"255","rt  meet  bushappointed federal judge  halted  executive  "
"256","rt   hows         hillarists  thats   true progressives  youre  sellout  "
"257","federal court denies  administration request  restore travel ban  "
"258","rt    poll     americans disapprove    approve amp      space ship    start   life  mars"
"259","rt  january      america  president  maga  donaldtrump "
"260"," oreilly factor  voices hope russia  help fight  isis "
"261","rt     rid  bannon emphasize         puppet    narcissism   rest"
"262"," angle bristol rocks racism wont   unity   bristol unity refugeeswelcome"
"263","constitutional crisis  happens   decides  ignore  judges ruling  "
"264","rt  sunday reading    steve bannon  ideologist   entire world  via "
"265","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"266","eminem attacks      release  "
"267","researchers lend  labs  wake   ban  malaria mosquitoes fight  cbcs health newsletter "
"268","rt   honor  kristen stewart hosting snl      tweets president  posted     past "
"269"," breaking   education secretary  completely  common core "
"270","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"271","rt    america va america pick   "
"272","rt  im   shocked      gop   shock   emotion  resistance   act  theresistance "
"273","rt     evicerated  sued  protecting   obama basks   glorious legacy illusion   sho "
"274"," bet  money   kanye    fashion sleekmakeup perfectsmile"
"275","rt             "
"276","    chill  anyonei tired    told  shut      shut   happen   regime comes  "
"277","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"278","rt    riddance  le boss   "
"279","via  travellers rush  board  flights   ban blocked    tcot "
"280","rt  look forward     shitfit  kristen stewart    hours "
"281","rt  yearold boy wearing  hat  suspended   beaten   "
"282","rt    comes   sent  strike force  chicago  "
"283","rt   twitter rally  rt    support  djt  sunday feb th  super bowl half time   "
"284","malcolm turnbull   phone call   australias favour    uspolitics  clinton"
"285","rt     white house  set  destroy decades   foreign policy  "
"286","rt    train woot  woot "
"287","rt   administrations request  immediate administrative stay denied "
"288","rt  breaking  federal appeals court  sunday rejected  request   justice department  restore  muslimban  defeat"
"289","rt   executive   financial regulation     step  "
"290","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"291","rt  george clooney     immigrants yes clooneys bs destroyed  refugeesnotwelcome maga muslimban  nra "
"292","appeals court denies  request  immediately reinstate travel ban  fox news   ban    days "
"293","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"294","rt   tried  reinstate  travel ban   denied     picture    toys     child throwing  craziest tantrum"
"295","   keeping  promises    surrounding  wthe  people amp  mexico   pay   cockamamie wall"
"296","rt   signs suggest  actions  taking  toll   brand   demforce  "
"297","rt    jr stumbled   mark outside   organization leaving  lawsuits unpaid taxes "
"298","rt   eminem     bitch     bitch nofavors eminem bigsean idecided"
"299","rt  kristen stewarthumiliated   night  saturday night live    robert pattinson  snl  "
"300","          ago  jackie robinson statue  hate graffiti  "
"301","rt   federal appeals court denied   governments initial request  resume president   travel ban "
"302","rt  former visa officer    correct obamas dont bother checking vetting system   "
"303","    wowlooking       rails   crazy train  speaking  mind   banned "
"304","rt     thats crazy  blessed "
"305","rt  thanks george  bush   judges  upheld obamacare  halted president  travel ban   wonder   "
"306"," oreilly factor  voices hope russia  help fight  isis "
"307","rt  beyoncé   people  color   tummy      cabinet"
"308","rt        unstoppable oh wait      "
"309","rt   voices hope russia  help  fight  isis   "
"310","rt   federal judges  agreed   muslim ban  illegal    told  "
"311","rt       sabotaged  enemies   respective governments thay   act quickly amp  fire  treacherous dessinters"
"312","rt  thank  socalled president  ive  struggling   weeks    call    tweet   "
"313","rt   wonder     tweeting  boycott bud"
"314","  help british bananas  bend   "
"315","rt  psychologists explain  people    nightmares  "
"316","rt     government  night oreilly putins  killer     lot  killers    country   innocent"
"317","rt   retweetu    happy  president    administrations performance    kicking butt  tak "
"318","     ura gr spokesman   stick ur guns gorka   gr fan  urs godbless"
"319","rt   twitter rally  rt    support  djt  sunday feb th  super bowl half time   "
"320"," oreilly factor  voices hope russia  help fight  isis "
"321","rt    defends putin killing journalists  dissidents  threatens america trumprussia trumputin "
"322","rt  hitler  failed painter   cancelled tv host bannon  failed documentary maker conway  failed standup  support  arts  media"
"323","rt  assistant ag  social media violates  ethics laws  posting fuck   stuff  twitter  via "
"324","rt    fought  australias pm    tired  "
"325","  policy  finally makes sense      look   economics  week "
"326","rt   administrations request  immediate administrative stay denied "
"327","rt  kristen mocked       gay  snl monologue    fave "
"328","im   huge swap meet   dad     america   pretty       poor"
"329"," scotus judges          "
"330","dishonest disgusting  eichenwald   tell  difference  truth   lies  newsweek  "
"331","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"332","chelsea clinton  ramping   increasingly public twitter crusade   "
"333","zagone grim reaper mask  skeleton gloves  saturday night live evil snl  zagone "
"334","travellers rush  board  flights   ban blocked  "
"335","rt  melissa mccarthy skewers sean spicer alec baldwin reprises  role bannon portrayed  grim reaper  snl "
"336","rt  thanks    learnin    constitution provides checks   unbalanced"
"337","rt   im  equating   individuals   im saying  comment  oreilly doesnt deserve  outrage  getting"
"338","rt   sat   ban spicer sun   ban conway sun   ban  mon   ban spicer mon   ban  "
"339","rt  resist  persist   protesters plan     skin wherever  goes "
"340","rt  appeals court  denied dojs appeal   eo   liberal    acting  activists instead  jud "
"341","rt   administrations request  immediate administrative stay denied "
"342","rt   vandal spraypainted    rules     white house   awkward  security cameras revealed       "
"343","rt   national strike  feb   called  stop    nationalstrike february resist"
"344","rt       challenged  fed courts   gorsuch confirmed fast "
"345","rt   british parliament roasting     favorite  "
"346","rt     prez  silence  quebec mosque murders     canadians  scratch  heads  "
"347","rt         eternity whenever republicans accuse dems   yeah      valid excuse"
"348","rt   cant  walk  stairs snl rips     relationship  steve bannon "
"349","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"350","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"351","rt  snl goes     melissa mccarthy  sean spicer "
"352","  socalled president     residence   kremlin   love  "
"353","rt  chicago gang  respect    lmfaoo foh "
"354","rt  elon musk    travel ban   council meeting agenda    "
"355","rt   defends putin  super bowl interview    countrys  innocent  "
"356","breaking president   signed  executive   prevents illegals  using welfare   "
"357","    fun   twitter"
"358","rt   judiciary rules     undermine judge lie  ruling  stoke darkest fears  won "
"359"," repeats respect  killer putin     countrys  innocent   murdering journos "
"360","rt   administrations request  immediate administrative stay denied "
"361","  federal judge vs  travel ban "
"362","rt  means      insurgent candidate    party opposed  nonsequitur amp  prematurehigher courts  decide"
"363","rt   morning    th day   violates  constitutions emoluments clause amp   th day paul rya "
"364","rt  antitrump judge  free legal help  refugees  "
"365","rt  napavalley hollywood pizzagate  hate pedos   hate   worse  authorities cover   shit  "
"366","  didnt    figured        reading    tweets re   oreilly"
"367","rt   retweetu    happy  president    administrations performance    kicking butt  tak "
"368","rt  critics charge    looting  country  enrich  friends  counters  hes looting  countr "
"369","rt         yellow tr  entirely appropriate   levels spoilingmyhobby"
"370","  travelers   ban head   via beirut lebanons national news agency  airlines operating "
"371","rt   voted  extremevetting  president   keeping  promise  people  deemed  threat   vetting   "
"372","rt  breaking  buzzfeed  sued   russia fake news story  "
"373","ivanka  husband veto  antilgbt executiveorders "
"374","rt  breaking appeals court rejects  administrations request  restore travel ban  "
"375","rt  dear muslims            insanity    heres  spiritual lesson  "
"376","breaking  buzzfeed  sued   russia fake news story "
"377","rt   honor  kristen stewart hosting snl      tweets president  posted     past "
"378","rt   administrations request  immediate administrative stay denied "
"379","rt   left  saying tom brady  evil    condemned simply     supports      million "
"380","rt      administration isnt committed  diversity "
"381","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"382","rt  video   wa vs  et al immigration eo oral argument  wdwa ht   "
"383","super bowl  protesters  lady gaga prepare  houston spectacle "
"384","rt   avalanche  phone calls  thundering  capitol hill   senate considers   nominations "
"385","rt   dads friend owns  restaurant          receipts     america disgustin "
"386","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"387"," pathetic   russian clown"
"388","rt  socalled judge  blocked  immigration   described  colleagues   mainstream republican "
"389","rt  mike pence   supreme count seat belongs   american people     voted   "
"390","rt   honor  kristen stewart hosting snl      tweets president  posted     past "
"391","nigeria news  re  companies express concern   travel ban "
"392","rt  rt     president    george soros   fbi    nicogabe"
"393","inspired   argentinas leader   son   immigrant imposes sharp restrictions  "
"394"," home losers protesters gather  south florida  president  stay    sent   samsung smgt"
"395","rt      act   isnt   honest answer    president         "
"396","rt  hitler  failed painter   cancelled tv host bannon  failed documentary maker conway  failed standup  support  arts  media"
"397","rt  trumpisraeli settlements rtplz    blocks un re settlements  palestinian land   scots build settlements   golf courses"
"398","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"399","rt   putin    person  hasnt criticized look   financial connections wkremlin  "
"400"," wake      tweet    thats       "
"401","rt  bret stephens wsj     moral par  putins russia slandered  country "
"402","rt   th cir appeals court  liberal    win  travelban appeal  ban  lawful  sundaymorning "
"403","rt    superbowl people  gonna realize  isnt qualified  run  lawnmowerlet   country amjoy resist theresistance"
"404","constitutional crisis  happens   decides  ignore  judges ruling  "
"405","rt  federal appeals court denies  administration request  restore travel ban  "
"406","rt   melania  stays   tower   yr term   cost taxpayers approx     populist  voters "
"407","  yep    irrational illogical impotent impetuous behavior  feeds  recruiting drives   enemy"
"408","rt   thinking     bit  suppose  salient difference  obamas view  america amp      error vs stupidity"
"409","rt      protesters rally near paul ryans janesville home  resisttrump"
"410","rt    sent     antitrump march  maralago "
"411","court rejects  appeal  restore travel ban "
"412","rt  democracy    business  farewell speech    dept official fired    worth  time "
"413","travellers rush  board  flights   ban blocked  "
"414","rt  itd   coverage    told vladimir hell   flexible   election"
"415","rt   lapel pin  snls president    russian flag "
"416","rt  documents confirm   benefiting   business   washington post "
"417","rt    uk   threat  global security dangerous unstable amp  bigot time  rethink statevisit "
"418","rt      dont  republicans killing gays    defends lbgtiq rights    publicly"
"419"," worse  tricky dickdone sixteen days  counting "
"420","rt    deputy editorial page editor   wall street journal   agree   slandered   "
"421","rt  hypocriteinchief  plays st round  golf nearly  months  obama  "
"422","   suggesting  hussein obamas idea carried     wrong"
"423","rt  someones  afraid   pet nazi "
"424","rt   administrations request  immediate administrative stay denied "
"425","rt    superbowl people  gonna realize  isnt qualified  run  lawnmowerlet   country amjoy resist theresistance"
"426","rt           sick  winning   lost  popular vote   lost   court tw "
"427","rt    elected republicans  spoken    unhinged attack   federal judge appointed  george  bush"
"428","   didnt   melania  "
"429","travelers rush  board  flights   ban blocked  via "
"430","rt  brian paddick    appeasement  muslims  anger  opposition   stupid  overlooks  thats    "
"431","rt  notice    word attack   stands    taxpayer "
"432","rt     supporters      causing  misery gt   richest  control   worlds wealth "
"433","rt   morning  twitter     direct assault   constitution  questioning  legitimacy    "
"434","rt     government  night oreilly putins  killer     lot  killers    country   innocent"
"435"," oreilly factor  voices hope russia  help fight  isis "
"436","sweden trolls   climatelaw photo "
"437","rt  president  pulls   transpacific partnership trade pact heres   means  fashion "
"438","gop advisor goes rogue begs  media     tweetsgop advisor goes rogue begs  twitter takedown "
"439","rt   socalled president    surprised  learn  judges     bankruptcies amp  divorces   socalled president"
"440","rt    rattled  bannon  shut   spicer cant    mind  conway    fake massacres   resistance  "
"441","rt   loses  court         "
"442","  enabling racism  fighting terrorism  difference  prove deadly  americans "
"443","rt  president      lot  killers    countrys  innocent  "
"444","iraqi family flies   york  blow   ban "
"445","rt    elected republicans  spoken    unhinged attack   federal judge appointed  george  bush"
"446","rt    genuinely change   brexiteer   single instance  "
"447","ok  talking   snl shouldnt  acting  theyve hated     time bc    host  realize "
"448","rt    wed   warning   campaign   wouldnt respect  independent judiciary "
"449","rt  germans destroyed  country  millions  raping muslim invaders    weeks     "
"450","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"451","rt  rasmussen  percent  republicans  percent  independents   refugee moratorium  breitbart "
"452","rt    didnt attack  judge  tweeted  called judge judge defended black lives matter   police schumer   clown"
"453","rt  poll president  speaks    trumpmedia"
"454","rt    didnt realize steve bannon  senate confirmation  national security council "
"455","constitutional crisis  happens   decides  ignore  judges ruling  "
"456","rt       march       weekly mental illness convention "
"457","rt   biafrans celebrating president  massacred  nigerian soldiers  picture  abc news "
"458","rt  president      ukraine russia amp    parties involved  help  restore peace alon "
"459","iraq  ruling   travel ban  move   direction  "
"460","rt  german magazine sparks furor  cover   beheading statue  liberty  "
"461","rt  valuable column   chill america    outrage  outrageous "
"462","rt  veterans vs  pipeline    completed warriors vow  "
"463","rt  check  coffee time video nyu protest   conservative  supporter free publicity "
"464","rt      white women  voted    support  theres  hope  reaching  "
"465","rt   attempt  reinstate travel ban fails "
"466","rt  travellers rush  board  flights   ban blocked  "
"467","rt   nhs    saletory mps cheer  pm   didnt     swap bits   nhs  trum "
"468"," figure sanctuary san franciscos th court  appeals rejects  immigration request "
"469","dhs suspends    actions   travel ban  pjnet haction hillaryemails  tcot bwcentral "
"470","rt  snl goes     melissa mccarthy  sean spicer "
"471","rt  conservatives  saying   fine   kept  campaign promises  yall forget  promised    taxes   "
"472","    conservative bush appointee    kick    balls  muslim ban  "
